2_2_2, 3, 3, 6
2_2_3, 6, 6, 9
2_2_4, 8, 9, 14
2_2_5, 12, 12, 16
2_2_6, 15, 9, 18
2_2_7, 17, 19, 28
2_2_8, 22, 20, 31
2_3_3, 12, 9, 21
2_3_4, 17, 15, 28
2_3_5, 22, 16, 37
2_4_4, 30, 18, 48
2_4_5, 43, 22, 58
2_5_5, 48, 30, 78
3_3_3, 28, 18, 34
3_3_4, 31, 27, 48
3_3_5, 37, 36, 58
3_4_4, 48, 53, 70
3_4_5, 72, 57, 99
3_4_11, 196, 119, 197
3_5_5, 84, 88, 128
3_5_9, 180, 145, 235
4_4_4, 63, 63, 96
4_4_5, 101, 103, 128
4_5_5, 145, 144, 148
