223, 6, 6, 11
224, 6, 11, 19
266, 92, 52, 140
334, 32, 32, 44
335, 44, 43, 65
336, 53, 51, 74
344, 49, 60, 76
345, 63, 56, 95
346, 84, 67, 125
355, 91, 84, 133
356, 96, 128, 158
444, 123, 157, 130
445, 90, 75, 119
455, 156, 143, 203
